,precision,recall,f1-score,support
0,0.9032258064516129,0.8888888888888888,0.8959999999999999,126.0
1,0.9302325581395349,0.96,0.9448818897637796,125.0
2,1.0,0.9818181818181818,0.9908256880733944,55.0
3,0.9725609756097561,0.9696048632218845,0.9710806697108066,329.0
4,0.99,0.9867109634551495,0.9883527454242927,301.0
5,0.9672897196261683,0.981042654028436,0.9741176470588236,211.0
6,1.0,0.9590643274853801,0.9791044776119403,171.0
7,0.890625,0.5533980582524272,0.6826347305389222,103.0
8,0.991701244813278,1.0,0.9958333333333333,239.0
9,0.8034188034188035,0.9543147208121827,0.8723897911832946,197.0
10,1.0,0.9957081545064378,0.9978494623655914,233.0
11,0.9742489270386266,0.961864406779661,0.9680170575692963,236.0
12,0.9547038327526133,0.9891696750902527,0.9716312056737589,277.0
13,0.9951923076923077,0.9583333333333334,0.9764150943396227,216.0
14,0.9540229885057471,0.9764705882352941,0.9651162790697674,85.0
15,0.9972727272727273,0.9954627949183303,0.9963669391462306,1102.0
16,0.9471458773784355,0.9739130434782609,0.9603429796355841,460.0
17,1.0,0.9583333333333334,0.9787234042553191,72.0
18,0.9831460674157303,0.875,0.9259259259259258,200.0
19,0.9790940766550522,0.9493243243243243,0.9639794168096054,296.0
20,0.9605911330049262,0.975,0.9677419354838709,200.0
21,0.8253275109170306,0.945,0.8811188811188811,200.0
22,0.9565217391304348,0.7096774193548387,0.8148148148148149,31.0
23,0.9861111111111112,0.9466666666666667,0.9659863945578231,75.0
24,0.9843597262952102,0.9891944990176817,0.9867711905928467,1018.0
25,0.9972222222222222,0.9782016348773842,0.9876203576341128,367.0
26,0.990990990990991,0.990990990990991,0.990990990990991,222.0
27,0.9574468085106383,0.9782608695652174,0.967741935483871,92.0
28,0.9403341288782816,0.9248826291079812,0.9325443786982249,426.0
29,0.7073170731707317,0.725,0.7160493827160495,200.0
30,0.8814016172506739,0.856020942408377,0.8685258964143426,382.0
31,0.8465346534653465,0.8952879581151832,0.8702290076335878,191.0
32,0.8278688524590164,0.8535211267605634,0.840499306518724,355.0
33,0.9071207430340558,0.8720238095238095,0.8892261001517451,336.0
34,0.7824561403508772,0.7935943060498221,0.7879858657243816,281.0
35,0.9733700642791552,0.9888059701492538,0.981027302174919,1072.0
36,0.9571428571428572,0.8933333333333333,0.9241379310344828,75.0
37,0.9490445859872612,0.9341692789968652,0.9415481832543444,319.0
accuracy,0.945568223611622,0.945568223611622,0.945568223611622,0.945568223611622
macro avg,0.9385537597624002,0.9241593091284136,0.9293196998022976,10876.0
weighted avg,0.946637534338028,0.945568223611622,0.9453177266084835,10876.0
